# wvl        a          b          c          rmse
381.00559270 0.00583760 3.02705843 0.00000000 0.00000000
388.40920830 0.00580869 2.99715263 0.00000000 0.00000000
395.81581440 0.00583027 3.01946137 0.00000000 0.00000000
403.22541120 0.00588939 3.08101481 0.00000000 0.00000000
410.63799900 0.00591072 3.10336756 0.00000000 0.00000000
418.05357790 0.00576770 2.95498939 0.00000002 0.00000000
425.47214820 0.00562126 2.80685239 0.00000000 0.00000000
432.89271010 0.00551208 2.69888139 0.00000000 0.00000000
440.31726380 0.00544287 2.63153303 0.00000000 0.00000000
447.74280950 0.00538509 2.57594608 0.00000001 0.00000000
455.17034740 0.00533634 2.52952169 0.00000001 0.00000000
462.59887780 0.00528761 2.48353416 0.00000001 0.00000000
470.03040080 0.00524669 2.44524955 0.00000001 0.00000000
477.46291660 0.00521543 2.41619853 0.00000000 0.00000000
484.89742560 0.00514659 2.35283406 0.00000000 0.00000000
492.33292780 0.00508819 2.29974338 0.00000000 0.00000000
499.77142350 0.00501900 2.23761962 0.00000000 0.00000000
507.20991280 0.00493054 2.15943883 0.00000000 0.00000000
514.65039620 0.00483885 2.07987416 0.00000000 0.00000000
522.09087360 0.00475470 2.00815802 0.00000000 0.00000000
529.53334540 0.00469585 1.95875717 0.00000000 0.00000000
536.97681170 0.00465731 1.92674184 0.00000000 0.00000000
544.42127270 0.00461923 1.89535700 0.00000000 0.00000000
551.86672880 0.00460133 1.88070055 0.00000000 0.00000000
559.31418000 0.00460410 1.88296391 0.00000000 0.00000000
566.76162660 0.00461287 1.89014496 0.00000000 0.00000000
574.20906890 0.00461708 1.89359799 0.00000000 0.00000000
581.65850690 0.00460186 1.88113361 0.00000000 0.00000000
589.10794100 0.00458170 1.86468318 0.00000000 0.00000000
596.55837130 0.00455808 1.84550612 0.00000000 0.00000000
604.00979810 0.00453589 1.82758027 0.00000000 0.00000000
611.46222150 0.00457649 1.86044314 0.00000000 0.00000000
618.91464180 0.00466881 1.93626716 0.00000000 0.00000000
626.36805920 0.00473110 1.98827437 0.00000000 0.00000000
633.82147390 0.00473755 1.99370086 0.00000000 0.00000000
641.27588610 0.00472953 1.98695421 0.00000000 0.00000000
648.73029600 0.00472930 1.98675952 0.00000000 0.00000000
656.18570390 0.00484710 2.08696878 0.00000000 0.00000000
663.64110990 0.00539662 2.58699706 0.00000000 0.00000000
671.09751420 0.00486456 2.10203264 0.00000000 0.00000000
678.55391710 0.00436954 1.69598943 0.00000000 0.00000000
686.01031880 0.00436564 1.69296471 0.00000000 0.00000000
693.46771950 0.00430313 1.64483378 0.00000000 0.00000000
700.92511940 0.00420460 1.57037240 0.00000000 0.00000000
708.38351870 0.00408880 1.48505825 0.00000000 0.00000000
715.84091760 0.00400017 1.42138056 0.00000000 0.00000000
723.29931640 0.00395122 1.38680671 0.00000000 0.00000000
730.75871520 0.00392199 1.36635896 0.00000000 0.00000000
738.21711430 0.00390004 1.35110929 0.00000000 0.00000000
745.67651380 0.00386812 1.32908578 0.00000000 0.00000000
753.13591400 0.00384679 1.31446423 0.00000000 0.00000000
760.59631520 0.00382926 1.30251502 0.00000000 0.00000000
