#wavlengths (nm), Water Real, Water Imaginary, Ice Real, Ice Imaginary
0400,1.338100000,1.90E-09,1.3194,2.71E-09
0405,1.338000000,1.72E-09,1.3190,2.62E-09
0410,1.337900000,1.59E-09,1.3185,2.51E-09
0415,1.337800000,1.48E-09,1.3181,2.38E-09
0420,1.337700000,1.39E-09,1.3178,2.26E-09
0425,1.337600000,1.30E-09,1.3174,2.17E-09
0430,1.337500000,1.22E-09,1.3170,2.08E-09
0435,1.337400000,1.15E-09,1.3167,1.99E-09
0440,1.337300000,1.09E-09,1.3163,1.91E-09
0445,1.337100000,1.04E-09,1.3160,1.70E-09
0450,1.336900000,1.00E-09,1.3157,1.54E-09
0455,1.336700000,9.72E-10,1.3154,1.53E-09
0460,1.336500000,9.55E-10,1.3151,1.53E-09
0465,1.336300000,9.46E-10,1.3148,1.54E-09
0470,1.336100000,9.41E-10,1.3145,1.55E-09
0475,1.335900000,9.40E-10,1.3143,1.59E-09
0480,1.335700000,9.41E-10,1.3140,1.64E-09
0485,1.335500000,9.47E-10,1.3137,1.71E-09
0490,1.335300000,9.59E-10,1.3135,1.78E-09
0495,1.335100000,9.76E-10,1.3133,1.84E-09
0500,1.334900000,1.00E-09,1.3130,1.91E-09
0505,1.334700000,1.04E-09,1.3128,2.02E-09
0510,1.334505556,1.08E-09,1.3126,2.14E-09
0515,1.334322222,1.14E-09,1.3124,2.20E-09
0520,1.334155556,1.22E-09,1.3122,2.26E-09
0525,1.334000000,1.30E-09,1.3119,2.39E-09
0530,1.333855556,1.40E-09,1.3118,2.54E-09
0535,1.333711111,1.52E-09,1.3116,2.75E-09
0540,1.333566667,1.66E-09,1.3114,2.93E-09
0545,1.333422222,1.82E-09,1.3112,3.02E-09
0550,1.333277778,2.00E-09,1.3110,3.11E-09
0555,1.333133333,2.21E-09,1.3108,3.20E-09
0560,1.333000000,2.47E-09,1.3106,3.29E-09
0565,1.332877778,2.78E-09,1.3105,3.39E-09
0570,1.332766667,3.16E-09,1.3103,3.52E-09
0575,1.332666667,3.60E-09,1.3101,3.73E-09
0580,1.332577778,4.36E-09,1.3100,4.04E-09
0585,1.332494444,5.68E-09,1.3098,4.44E-09
0590,1.332405556,7.52E-09,1.3097,4.88E-09
0595,1.332316667,9.55E-09,1.3095,5.29E-09
0600,1.332222222,1.10E-08,1.3094,5.73E-09
0605,1.332116667,1.18E-08,1.3092,6.26E-09
0610,1.332000000,1.25E-08,1.3091,6.89E-09
0615,1.331883333,1.30E-08,1.3090,7.69E-09
0620,1.331766667,1.36E-08,1.3088,8.58E-09
0625,1.331661111,1.40E-08,1.3087,9.50E-09
0630,1.331572222,1.44E-08,1.3086,1.04E-08
0635,1.331511111,1.46E-08,1.3084,1.13E-08
0640,1.331488889,1.49E-08,1.3083,1.22E-08
0645,1.331488889,1.53E-08,1.3082,1.32E-08
0650,1.331488889,1.60E-08,1.3080,1.43E-08
0655,1.331488889,1.69E-08,1.3079,1.54E-08
0660,1.331488889,1.80E-08,1.3078,1.66E-08
0665,1.331488889,1.93E-08,1.3077,1.78E-08
0670,1.331488889,2.06E-08,1.3076,1.89E-08
0675,1.331494444,2.20E-08,1.3074,1.99E-08
0680,1.331516667,2.34E-08,1.3073,2.09E-08
0685,1.331550000,2.50E-08,1.3072,2.22E-08
0690,1.331594444,2.72E-08,1.3071,2.40E-08
0695,1.331650000,3.08E-08,1.3070,2.64E-08
0700,1.331711111,3.60E-08,1.3069,2.90E-08
0705,1.331772222,4.20E-08,1.3068,3.16E-08
0710,1.331833333,4.91E-08,1.3067,3.44E-08
0715,1.331888889,5.72E-08,1.3066,3.73E-08
0720,1.331905556,6.69E-08,1.3065,4.03E-08
0725,1.331888889,7.83E-08,1.3064,4.18E-08
0730,1.331844444,1.05E-07,1.3062,4.30E-08
0735,1.331788889,1.38E-07,1.3061,4.57E-08
0740,1.331733333,1.53E-07,1.3060,4.92E-08
0745,1.331677778,1.61E-07,1.3059,5.36E-08
0750,1.331622222,1.68E-07,1.3058,5.87E-08
0755,1.331566667,1.66E-07,1.3058,6.45E-08
0760,1.331511111,1.62E-07,1.3057,7.08E-08
0765,1.331455556,1.58E-07,1.3056,7.80E-08
0770,1.331388889,1.53E-07,1.3055,8.58E-08
0775,1.331277778,1.49E-07,1.3054,9.39E-08
0780,1.331166667,1.44E-07,1.3053,1.02E-07
0785,1.331055556,1.40E-07,1.3052,1.10E-07
0790,1.330944444,1.36E-07,1.3051,1.18E-07
0795,1.330833333,1.32E-07,1.3050,1.27E-07
0800,1.330722222,1.29E-07,1.3049,1.34E-07
0805,1.330616667,1.26E-07,1.3048,1.38E-07
0810,1.330544444,1.24E-07,1.3047,1.40E-07
0815,1.330488889,1.24E-07,1.3046,1.42E-07
0820,1.330433333,1.31E-07,1.3046,1.43E-07
0825,1.330377778,1.52E-07,1.3045,1.44E-07
0830,1.330322222,1.85E-07,1.3044,1.45E-07
0835,1.330261111,2.11E-07,1.3043,1.46E-07
0840,1.330177778,2.34E-07,1.3042,1.51E-07
0845,1.330072222,2.54E-07,1.3041,1.65E-07
0850,1.329961111,2.67E-07,1.3040,1.83E-07
0855,1.329850000,2.77E-07,1.3039,1.98E-07
0860,1.329750000,2.88E-07,1.3038,2.15E-07
0865,1.329694444,3.04E-07,1.3038,2.38E-07
0870,1.329638889,3.23E-07,1.3037,2.65E-07
0875,1.329583333,3.43E-07,1.3036,2.98E-07
0880,1.329527778,3.66E-07,1.3035,3.35E-07
0885,1.329472222,3.91E-07,1.3034,3.69E-07
0890,1.329416667,4.17E-07,1.3033,3.92E-07
0895,1.329361111,4.45E-07,1.3032,4.07E-07
0900,1.329300000,4.76E-07,1.3032,4.20E-07
0905,1.329200000,5.10E-07,1.3031,4.32E-07
0910,1.329088889,5.52E-07,1.3030,4.44E-07
0915,1.328977778,6.19E-07,1.3029,4.58E-07
0920,1.328866667,7.19E-07,1.3028,4.74E-07
0925,1.328761111,8.50E-07,1.3027,4.92E-07
0930,1.328677778,1.01E-06,1.3027,5.11E-07
0935,1.328616667,1.20E-06,1.3026,5.32E-07
0940,1.328561111,1.42E-06,1.3025,5.53E-07
0945,1.328505556,1.72E-06,1.3024,5.74E-07
0950,1.328450000,2.18E-06,1.3023,6.02E-07
0955,1.328394444,2.75E-06,1.3022,6.67E-07
0960,1.328338889,3.40E-06,1.3022,7.55E-07
0965,1.328283333,3.90E-06,1.3021,8.37E-07
0970,1.328227778,3.99E-06,1.3020,9.26E-07
0975,1.328172222,3.97E-06,1.3019,1.02E-06
0980,1.328116667,3.93E-06,1.3018,1.12E-06
0985,1.328061111,3.83E-06,1.3017,1.22E-06
0990,1.328011111,3.70E-06,1.3017,1.33E-06
0995,1.328000000,3.53E-06,1.3016,1.47E-06
1000,1.328000000,3.31E-06,1.3015,1.62E-06
1005,1.328000000,3.08E-06,1.3014,1.80E-06
1010,1.328000000,2.83E-06,1.3013,2.00E-06
1015,1.328000000,2.56E-06,1.3012,2.16E-06
1020,1.328000000,2.33E-06,1.3012,2.25E-06
1025,1.328000000,2.12E-06,1.3011,2.30E-06
1030,1.327988889,1.93E-06,1.3010,2.33E-06
1035,1.327950000,1.77E-06,1.3009,2.35E-06
1040,1.327894444,1.62E-06,1.3008,2.33E-06
1045,1.327838889,1.49E-06,1.3007,2.27E-06
1050,1.327783333,1.41E-06,1.3007,2.17E-06
1055,1.327727778,1.34E-06,1.3006,2.06E-06
1060,1.327672222,1.29E-06,1.3005,1.96E-06
1065,1.327616667,1.26E-06,1.3004,1.88E-06
1070,1.327561111,1.26E-06,1.3003,1.81E-06
1075,1.327505556,1.29E-06,1.3002,1.76E-06
1080,1.327450000,1.34E-06,1.3001,1.74E-06
1085,1.327366667,1.41E-06,1.3001,1.73E-06
1090,1.327255556,1.49E-06,1.3000,1.73E-06
1095,1.327144444,1.59E-06,1.2999,1.71E-06
1100,1.327033333,1.71E-06,1.2998,1.70E-06
1105,1.326922222,1.84E-06,1.2997,1.73E-06
1110,1.326811111,2.01E-06,1.2996,1.76E-06
1115,1.326700000,2.22E-06,1.2995,1.79E-06
1120,1.326600000,2.54E-06,1.2994,1.82E-06
1125,1.326527778,3.06E-06,1.2994,1.91E-06
1130,1.326472222,3.77E-06,1.2993,2.04E-06
1135,1.326405556,4.68E-06,1.2992,2.15E-06
1140,1.326311111,5.84E-06,1.2991,2.25E-06
1145,1.326200000,7.35E-06,1.2990,2.24E-06
1150,1.326088889,9.06E-06,1.2989,2.29E-06
1155,1.325977778,1.03E-05,1.2988,2.62E-06
1160,1.325866667,1.08E-05,1.2987,3.04E-06
1165,1.325755556,1.10E-05,1.2986,3.42E-06
1170,1.325644444,1.13E-05,1.2986,3.84E-06
1175,1.325561111,1.15E-05,1.2985,4.29E-06
1180,1.325505556,1.16E-05,1.2984,4.77E-06
1185,1.325450000,1.17E-05,1.2983,5.26E-06
1190,1.325394444,1.18E-05,1.2982,5.76E-06
1195,1.325338889,1.19E-05,1.2981,6.22E-06
1200,1.325283333,1.20E-05,1.2980,6.71E-06
1205,1.325227778,1.20E-05,1.2979,7.61E-06
1210,1.325161111,1.20E-05,1.2978,8.66E-06
1215,1.325066667,1.19E-05,1.2977,9.50E-06
1220,1.324955556,1.18E-05,1.2976,1.02E-05
1225,1.324855556,1.17E-05,1.2975,1.08E-05
1230,1.324783333,1.16E-05,1.2974,1.13E-05
1235,1.324727778,1.15E-05,1.2973,1.18E-05
1240,1.324672222,1.13E-05,1.2972,1.22E-05
1245,1.324616667,1.12E-05,1.2971,1.26E-05
1250,1.324561111,1.10E-05,1.2971,1.29E-05
1255,1.324505556,1.09E-05,1.2970,1.31E-05
1260,1.324450000,1.08E-05,1.2969,1.32E-05
1265,1.324394444,1.08E-05,1.2968,1.34E-05
1270,1.324338889,1.08E-05,1.2967,1.35E-05
1275,1.324277778,1.10E-05,1.2966,1.35E-05
1280,1.324194444,1.13E-05,1.2965,1.33E-05
1285,1.324088889,1.18E-05,1.2964,1.32E-05
1290,1.323977778,1.24E-05,1.2963,1.32E-05
1295,1.323866667,1.32E-05,1.2962,1.32E-05
1300,1.323766667,1.40E-05,1.2961,1.32E-05
1305,1.323694444,1.50E-05,1.2959,1.32E-05
1310,1.323638889,1.61E-05,1.2958,1.31E-05
1315,1.323583333,1.73E-05,1.2957,1.31E-05
1320,1.323527778,1.87E-05,1.2956,1.32E-05
1325,1.323472222,2.03E-05,1.2955,1.32E-05
1330,1.323405556,2.23E-05,1.2954,1.32E-05
