#wl	f0 ( W/m^2/um/sr)
312.025	584.4883128567659
312.05	559.3943784987508
312.075	563.6905105893516
312.1	579.6201783878516
312.125	588.2217038644159
312.15	593.6242260654294
312.175	601.427941399076
312.2	604.2488900059963
312.225	595.0896587138628
312.25	577.3628000845027
312.275	560.6204061625278
312.3	556.8896626664972
312.325	580.0656696732009
312.35	633.7995355272817
312.375	698.0589185094381
312.4	744.7502735781742
312.425	768.2506856784297
312.45	787.690574240985
312.475	819.4342385567452
312.5	851.2220513775837
312.525	844.173915878874
312.55	771.4435347382915
312.575	658.3511595995593
312.6	567.0430395669937
312.625	537.5449046912598
312.65	558.7422913916051
312.675	593.768150791422
312.7	617.7445455183936
312.725	632.2729803275764
312.75	653.0992158707213
312.775	686.9012255597162
312.8	722.386932751286
312.825	745.5303903509866
312.85	754.1460325593173
312.875	749.3240447174585
312.9	726.5999030052102
312.925	689.20566962623
312.95	657.7056662949371
312.975	655.6054602662874
313.0	691.3280348276031
313.025	750.1390486999869
313.05	794.3578676909066
313.075	784.7535347472095
313.1	719.6010511850594
313.125	645.9811061403823
313.15	617.8899188828194
313.175	646.1526249308753
313.2	696.6017980484282
313.225	727.5284003160239
313.25	719.700447762798
313.275	683.1838095372713
313.3	648.896016433264
313.325	644.1002539423513
313.35	666.5967995708263
313.375	690.2402772046245
313.4	696.3387852526151
313.425	684.1588431089258
313.45	651.7499340528024
313.475	598.9496007769167
313.5	555.5869370906388
313.525	566.1477510434353
313.55	634.8492988608706
313.575	714.9380938713384
313.6	757.7563692250228
313.625	756.4730254323399
313.65	739.0684938496756
313.675	726.4440494910157
313.7	710.7403892693173
313.725	683.1408099523294
313.75	665.2268671622766
313.775	687.4386304560006
313.8	745.537263890587
313.825	805.575144637978
313.85	846.4131212628436
313.875	872.6806325827432
313.9	890.5082365221764
313.925	897.055013245064
313.95	895.8339009613502
313.975	896.0396475813067
314.0	891.0303857571673
314.025	861.0100217215632
314.05	805.8815066900789
314.075	757.5671970268643
314.1	746.677222450211
314.125	770.5156668359006
314.15	805.639204428556
314.175	836.5041046895063
314.2	861.106041473161
314.225	879.0686085615206
314.25	883.7042415572083
314.275	867.0810456017625
314.3	829.600613240701
314.325	778.9427862357151
314.35	719.4348074365854
314.375	647.2956406171238
314.4	557.1019731171477
314.425	452.14156479041935
314.45	350.70609339610576
314.475	278.96811949776645
314.5	253.090341869452
314.525	271.4262280773568
314.55	321.585004137404
314.575	387.1627380092776
314.6	452.42279046805146
314.625	510.54087562008266
314.65	565.5706934165204
314.675	620.0504981669998
314.7	663.6992629485334
314.725	681.0453894258142
314.75	667.4121032716513
314.775	633.2638290346777
314.8	598.8933436526585
314.825	585.084782238686
314.85	600.0314539494537
314.875	637.1348606747031
314.9	688.972089167136
314.925	753.6657339891315
314.95	824.0087889636003
314.975	880.8100817610563
315.0	901.407752131269
315.025	873.8899759280133
315.05	808.4523703503763
315.075	737.5852879062581
315.1	698.1172936429919
315.125	703.580099184047
315.15	733.5694124041306
315.175	757.8389016532767
315.2	767.9436642460763
315.225	771.7437625559235
