#  wvl   a     b     c     rmse
350.9150085 0.0002709 0.0000402 0.0000000 0.0000000
353.3450012 0.0002590 0.0000390 0.0000000 0.0000000
355.7799988 0.0002471 0.0000378 0.0000000 0.0000000
358.2369995 0.0002274 0.0000368 0.0000000 0.0000000
360.6950073 0.0002078 0.0000358 0.0000000 0.0000000
363.1400147 0.0001877 0.0000352 0.0000000 0.0000000
365.6099853 0.0001677 0.0000346 0.0000000 0.0000000
368.0799866 0.0001479 0.0000337 0.0000000 0.0000000
370.5350037 0.0001282 0.0000327 0.0000000 0.0000000
372.9899902 0.0001249 0.0000317 0.0000000 0.0000000
375.4800110 0.0001216 0.0000307 0.0000000 0.0000000
377.9249878 0.0001143 0.0000301 0.0000000 0.0000000
380.4200134 0.0001070 0.0000294 0.0000000 0.0000000
382.8779907 0.0000987 0.0000286 0.0000000 0.0000000
385.3569946 0.0000904 0.0000277 0.0000000 0.0000000
387.8099976 0.0001390 0.0000265 0.0000000 0.0000000
390.2950134 0.0001876 0.0000254 0.0000000 0.0000000
392.7650147 0.0001793 0.0000247 0.0000000 0.0000000
395.2399902 0.0001709 0.0000241 0.0000000 0.0000000
397.7049866 0.0001550 0.0000231 0.0000000 0.0000000
400.1770019 0.0001390 0.0000221 0.0000000 0.0000000
402.6549988 0.0001363 0.0000215 0.0000000 0.0000000
405.1300049 0.0001336 0.0000210 0.0000000 0.0000000
407.6050110 0.0001292 0.0000207 0.0000000 0.0000000
410.0750122 0.0001248 0.0000204 0.0000000 0.0000000
412.5549927 0.0001188 0.0000201 0.0000000 0.0000000
415.0270081 0.0001128 0.0000198 0.0000000 0.0000000
417.5100098 0.0001133 0.0000195 0.0000000 0.0000000
419.9849853 0.0001139 0.0000192 0.0000000 0.0000000
422.4500122 0.0001141 0.0000193 0.0000000 0.0000000
424.9400024 0.0001144 0.0000195 0.0000000 0.0000000
427.3999939 0.0001549 0.0000196 0.0000000 0.0000000
429.8850098 0.0001953 0.0000196 0.0000000 0.0000000
432.3800049 0.0002112 0.0000201 0.0000000 0.0000000
434.8699951 0.0002272 0.0000205 0.0000000 0.0000000
437.3519897 0.0002333 0.0000206 0.0000000 0.0000000
