#wls tsis_f0
350.0 1203.74
350.5 1369.51
351.0 1185.44
351.5 755.023
352.0 1186.91
352.5 672.7729999999999
353.0 1184.8
353.5 1243.45
354.0 1331.52
354.5 1248.15
355.0 1250.39
355.5 906.546
356.0 911.621
356.5 1199.7
357.0 772.763
357.5 868.258
358.0 763.005
358.5 827.884
359.0 771.716
359.5 1013.1100000000001
360.0 1147.24
360.5 954.0160000000001
361.0 506.368
361.5 877.484
362.0 370.946
362.5 931.8810000000001
363.0 1344.52
363.5 962.145
364.0 1300.78
364.5 1068.48
365.0 997.105
365.5 1226.8300000000002
366.0 1530.43
366.5 1120.9099999999999
367.0 1078.27
367.5 1173.76
368.0 1199.91
368.5 1312.3400000000001
369.0 1079.57
369.5 1038.27
370.0 1422.98
370.5 960.116
371.0 858.414
371.5 1655.13
372.0 988.021
372.5 1189.87
373.0 1406.54
373.5 656.92
374.0 1122.8400000000001
374.5 879.991
375.0 437.389
375.5 1372.16
376.0 752.6569999999999
376.5 725.109
377.0 1329.02
377.5 1391.8100000000002
378.0 1330.25
378.5 1582.59
379.0 1140.8
379.5 1095.03
380.0 841.9889999999999
380.5 1501.07
381.0 1400.2600000000002
381.5 1049.07
382.0 1167.6000000000001
382.5 822.3950000000001
383.0 746.0219999999999
383.5 553.824
384.0 581.341
384.5 1102.35
385.0 1202.1200000000001
385.5 1022.71
386.0 690.4970000000001
386.5 1211.76
387.0 1131.84
387.5 1089.28
388.0 804.2529999999999
388.5 1400.6299999999999
389.0 662.117
389.5 1277.03
390.0 1363.9599999999998
390.5 1274.0
391.0 1498.3799999999999
391.5 1316.42
392.0 1215.01
392.5 1361.02
393.0 684.441
393.5 213.30100000000002
394.0 838.082
394.5 734.7629999999999
395.0 1187.05
395.5 1547.4199999999998
396.0 1518.2400000000002
396.5 902.941
397.0 248.279
397.5 888.836
398.0 1498.74
398.5 1383.18
399.0 1740.25
399.5 1677.31
400.0 1671.52
400.5 1936.3300000000002
401.0 1772.2
401.5 1663.58
402.0 1969.3700000000001
402.5 1804.86
403.0 1994.48
403.5 1618.47
404.0 1916.16
404.5 1611.78
405.0 1740.12
405.5 1795.01
406.0 1551.8100000000002
406.5 946.073
407.0 1973.1999999999998
407.5 1904.51
408.0 1665.9299999999998
408.5 1628.41
409.0 2005.9899999999998
409.5 2077.1
410.0 1658.7
410.5 1583.84
411.0 1785.98
411.5 2059.9
412.0 1524.73
412.5 1782.74
413.0 1882.64
413.5 1638.6000000000001
414.0 2053.7799999999997
414.5 1125.25
415.0 1891.14
415.5 1547.23
416.0 1773.6000000000001
416.5 1893.55
417.0 1955.96
417.5 1625.43
418.0 1777.97
418.5 1662.45
419.0 1706.2799999999997
419.5 2073.82
420.0 1331.15
420.5 1798.23
421.0 1933.46
421.5 1916.93
422.0 1866.4699999999998
422.5 1687.38
423.0 2051.01
423.5 1671.38
424.0 1667.16
424.5 1824.06
